,Country_name,Regional_indicator,Ladder_score,Social_support,Healthy_life_expectancy,Perceptions_of_corruption,year
0,Finland,Western Europe,7.8420000000000005,0.9540000000000001,72.0,0.18600000000000003,2021
1,Denmark,Western Europe,7.62,0.9540000000000001,72.7,0.179,2021
2,Switzerland,Western Europe,7.571000000000001,0.9420000000000001,74.4,0.292,2021
3,Iceland,Western Europe,7.553999999999999,0.983,73.0,0.6729999999999999,2021
4,Netherlands,Western Europe,7.4639999999999995,0.9420000000000001,72.4,0.33799999999999997,2021
5,Norway,Western Europe,7.392,0.9540000000000001,73.3,0.27,2021
6,Sweden,Western Europe,7.3629999999999995,0.934,72.7,0.237,2021
7,Luxembourg,Western Europe,7.324,0.9079999999999999,72.6,0.386,2021
8,New Zealand,North America and ANZ,7.277,0.948,73.4,0.242,2021
9,Austria,Western Europe,7.268,0.934,73.3,0.48100000000000004,2021
10,Australia,North America and ANZ,7.183,0.94,73.9,0.442,2021
11,Israel,Middle East and North Africa,7.157,0.9390000000000001,73.503,0.753,2021
12,Germany,Western Europe,7.155,0.903,72.5,0.46,2021
13,Canada,North America and ANZ,7.103,0.9259999999999999,73.8,0.415,2021
14,Ireland,Western Europe,7.085,0.9470000000000001,72.4,0.363,2021
15,Costa Rica,Latin America and Caribbean,7.069,0.8909999999999999,71.4,0.809,2021
16,United Kingdom,Western Europe,7.064,0.934,72.5,0.45899999999999996,2021
17,Czech Republic,Central and Eastern Europe,6.965,0.9470000000000001,70.807,0.868,2021
18,United States,North America and ANZ,6.9510000000000005,0.92,68.2,0.698,2021
19,Belgium,Western Europe,6.834,0.9059999999999999,72.199,0.6459999999999999,2021
20,France,Western Europe,6.69,0.9420000000000001,74.0,0.5710000000000001,2021
21,Bahrain,Middle East and North Africa,6.647,0.862,69.495,0.722,2021
22,Malta,Western Europe,6.602,0.9309999999999999,72.2,0.653,2021
23,Taiwan Province of China,East Asia,6.584,0.898,69.6,0.721,2021
24,United Arab Emirates,Middle East and North Africa,6.561,0.8440000000000001,67.333,0.589,2021
25,Saudi Arabia,Middle East and North Africa,6.494,0.8909999999999999,66.60300000000001,0.684,2021
26,Spain,Western Europe,6.4910000000000005,0.932,74.7,0.745,2021
27,Italy,Western Europe,6.483,0.88,73.8,0.866,2021
28,Slovenia,Central and Eastern Europe,6.461,0.948,71.4,0.8059999999999999,2021
29,Guatemala,Latin America and Caribbean,6.435,0.813,64.958,0.775,2021
30,Uruguay,Latin America and Caribbean,6.431,0.925,69.1,0.59,2021
31,Singapore,Southeast Asia,6.377000000000001,0.915,76.953,0.08199999999999999,2021
32,Kosovo,Central and Eastern Europe,6.372000000000001,0.821,63.813,0.917,2021
33,Slovakia,Central and Eastern Europe,6.331,0.9359999999999999,69.20100000000001,0.9109999999999999,2021
34,Brazil,Latin America and Caribbean,6.33,0.882,66.601,0.7559999999999999,2021
35,Mexico,Latin America and Caribbean,6.317,0.831,68.597,0.799,2021
36,Jamaica,Latin America and Caribbean,6.309,0.877,67.5,0.884,2021
37,Lithuania,Central and Eastern Europe,6.255,0.935,67.906,0.826,2021
38,Cyprus,Western Europe,6.223,0.802,73.898,0.8440000000000001,2021
39,Estonia,Central and Eastern Europe,6.189,0.941,68.8,0.527,2021
40,Panama,Latin America and Caribbean,6.18,0.8959999999999999,69.652,0.856,2021
41,Uzbekistan,Commonwealth of Independent States,6.178999999999999,0.9179999999999999,65.255,0.515,2021
42,Chile,Latin America and Caribbean,6.172000000000001,0.882,70.0,0.83,2021
43,Poland,Central and Eastern Europe,6.166,0.898,69.702,0.735,2021
44,Kazakhstan,Commonwealth of Independent States,6.152,0.9520000000000001,65.2,0.733,2021
45,Romania,Central and Eastern Europe,6.14,0.8320000000000001,67.355,0.938,2021
46,Kuwait,Middle East and North Africa,6.106,0.843,66.9,0.736,2021
47,Serbia,Central and Eastern Europe,6.077999999999999,0.873,68.6,0.835,2021
48,El Salvador,Latin America and Caribbean,6.061,0.762,66.402,0.688,2021
49,Mauritius,Sub-Saharan Africa,6.0489999999999995,0.905,66.70100000000001,0.789,2021
50,Latvia,Central and Eastern Europe,6.032,0.927,67.1,0.8,2021
51,Colombia,Latin America and Caribbean,6.0120000000000005,0.847,68.001,0.841,2021
52,Hungary,Central and Eastern Europe,5.992000000000001,0.943,68.0,0.8759999999999999,2021
53,Thailand,Southeast Asia,5.985,0.888,67.40100000000001,0.895,2021
54,Nicaragua,Latin America and Caribbean,5.972,0.8640000000000001,67.657,0.664,2021
55,Japan,East Asia,5.94,0.884,75.1,0.638,2021
56,Argentina,Latin America and Caribbean,5.928999999999999,0.898,69.0,0.8340000000000001,2021
57,Portugal,Western Europe,5.928999999999999,0.879,72.6,0.887,2021
58,Honduras,Latin America and Caribbean,5.919,0.812,67.3,0.809,2021
59,Croatia,Central and Eastern Europe,5.882000000000001,0.924,70.79899999999999,0.9390000000000001,2021
60,Philippines,Southeast Asia,5.88,0.83,62.0,0.742,2021
61,South Korea,East Asia,5.845,0.799,73.9,0.727,2021
62,Peru,Latin America and Caribbean,5.84,0.8320000000000001,68.25,0.8909999999999999,2021
63,Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.87,68.098,0.9309999999999999,2021
64,Moldova,Commonwealth of Independent States,5.766,0.857,65.699,0.9179999999999999,2021
65,Ecuador,Latin America and Caribbean,5.763999999999999,0.821,68.8,0.843,2021
66,Kyrgyzstan,Commonwealth of Independent States,5.744,0.893,64.40100000000001,0.9079999999999999,2021
67,Greece,Western Europe,5.723,0.823,72.6,0.823,2021
68,Bolivia,Latin America and Caribbean,5.716,0.81,63.901,0.8390000000000001,2021
69,Mongolia,East Asia,5.6770000000000005,0.935,62.5,0.856,2021
70,Paraguay,Latin America and Caribbean,5.653,0.893,65.9,0.882,2021
71,Montenegro,Central and Eastern Europe,5.581,0.858,68.699,0.812,2021
72,Dominican Republic,Latin America and Caribbean,5.545,0.853,66.102,0.7140000000000001,2021
73,North Cyprus,Western Europe,5.5360000000000005,0.82,73.898,0.626,2021
74,Belarus,Commonwealth of Independent States,5.534,0.91,66.253,0.627,2021
75,Russia,Commonwealth of Independent States,5.477,0.903,64.703,0.845,2021
76,Hong Kong S.A.R. of China,East Asia,5.477,0.836,76.82,0.40299999999999997,2021
77,Tajikistan,Commonwealth of Independent States,5.466,0.86,64.281,0.5529999999999999,2021
78,Vietnam,Southeast Asia,5.4110000000000005,0.85,68.03399999999999,0.7959999999999999,2021
79,Libya,Middle East and North Africa,5.41,0.8270000000000001,62.3,0.667,2021
80,Malaysia,Southeast Asia,5.3839999999999995,0.8170000000000001,67.102,0.8390000000000001,2021
81,Indonesia,Southeast Asia,5.345,0.8109999999999999,62.236000000000004,0.867,2021
82,Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005,0.636,58.221000000000004,0.745,2021
83,China,East Asia,5.3389999999999995,0.8109999999999999,69.593,0.755,2021
84,Ivory Coast,Sub-Saharan Africa,5.306,0.644,50.114,0.794,2021
85,Armenia,Commonwealth of Independent States,5.2829999999999995,0.799,67.055,0.629,2021
86,Nepal,South Asia,5.269,0.774,64.233,0.727,2021
87,Bulgaria,Central and Eastern Europe,5.266,0.9309999999999999,67.0,0.932,2021
88,Maldives,South Asia,5.1979999999999995,0.9129999999999999,70.6,0.825,2021
89,Azerbaijan,Commonwealth of Independent States,5.171,0.836,65.656,0.506,2021
90,Cameroon,Sub-Saharan Africa,5.142,0.71,53.515,0.848,2021
91,Senegal,Sub-Saharan Africa,5.132000000000001,0.71,59.802,0.8009999999999999,2021
92,Albania,Central and Eastern Europe,5.117,0.6970000000000001,68.999,0.9009999999999999,2021
93,North Macedonia,Central and Eastern Europe,5.101,0.805,65.47399999999999,0.905,2021
94,Ghana,Sub-Saharan Africa,5.088,0.727,57.586000000000006,0.848,2021
95,Niger,Sub-Saharan Africa,5.074,0.6409999999999999,53.78,0.693,2021
96,Turkmenistan,Commonwealth of Independent States,5.066,0.983,62.409,0.888,2021
97,Gambia,Sub-Saharan Africa,5.051,0.69,55.16,0.746,2021
98,Benin,Sub-Saharan Africa,5.045,0.489,54.713,0.6609999999999999,2021
99,Laos,Southeast Asia,5.03,0.728,58.968,0.6579999999999999,2021
100,Bangladesh,South Asia,5.025,0.693,64.8,0.682,2021
101,Guinea,Sub-Saharan Africa,4.984,0.639,55.008,0.7659999999999999,2021
102,South Africa,Sub-Saharan Africa,4.956,0.86,56.903999999999996,0.86,2021
103,Turkey,Middle East and North Africa,4.948,0.8220000000000001,67.199,0.7759999999999999,2021
104,Pakistan,South Asia,4.934,0.6509999999999999,58.708999999999996,0.787,2021
105,Morocco,Middle East and North Africa,4.918,0.56,66.208,0.8009999999999999,2021
106,Venezuela,Latin America and Caribbean,4.8919999999999995,0.861,66.7,0.8270000000000001,2021
107,Georgia,Commonwealth of Independent States,4.891,0.6709999999999999,64.3,0.655,2021
108,Algeria,Middle East and North Africa,4.887,0.802,66.005,0.752,2021
109,Ukraine,Commonwealth of Independent States,4.875,0.888,64.902,0.924,2021
110,Iraq,Middle East and North Africa,4.854,0.746,60.583,0.875,2021
111,Gabon,Sub-Saharan Africa,4.852,0.7759999999999999,59.961999999999996,0.84,2021
112,Burkina Faso,Sub-Saharan Africa,4.834,0.672,54.151,0.748,2021
113,Cambodia,Southeast Asia,4.83,0.765,62.0,0.843,2021
114,Mozambique,Sub-Saharan Africa,4.794,0.7440000000000001,54.706,0.684,2021
115,Nigeria,Sub-Saharan Africa,4.7589999999999995,0.74,50.102,0.878,2021
116,Mali,Sub-Saharan Africa,4.723,0.7240000000000001,51.968999999999994,0.8270000000000001,2021
117,Iran,Middle East and North Africa,4.721,0.71,66.3,0.7140000000000001,2021
118,Uganda,Sub-Saharan Africa,4.636,0.7809999999999999,56.101000000000006,0.855,2021
119,Liberia,Sub-Saharan Africa,4.625,0.72,56.498000000000005,0.85,2021
120,Kenya,Sub-Saharan Africa,4.607,0.688,60.70399999999999,0.825,2021
121,Tunisia,Middle East and North Africa,4.596,0.691,67.20100000000001,0.87,2021
122,Lebanon,Middle East and North Africa,4.584,0.848,67.355,0.898,2021
123,Namibia,Sub-Saharan Africa,4.574,0.818,56.799,0.847,2021
124,Palestinian Territories,Middle East and North Africa,4.5169999999999995,0.826,62.25,0.821,2021
125,Myanmar,Southeast Asia,4.426,0.779,59.302,0.66,2021
126,Jordan,Middle East and North Africa,4.395,0.767,67.0,0.705,2021
127,Chad,Sub-Saharan Africa,4.355,0.619,48.478,0.807,2021
128,Sri Lanka,South Asia,4.325,0.8270000000000001,67.29899999999999,0.863,2021
129,Swaziland,Sub-Saharan Africa,4.308,0.77,50.833,0.708,2021
130,Comoros,Sub-Saharan Africa,4.289,0.626,57.349,0.7809999999999999,2021
131,Egypt,Middle East and North Africa,4.283,0.75,61.998000000000005,0.795,2021
132,Ethiopia,Sub-Saharan Africa,4.275,0.764,59.0,0.7609999999999999,2021
133,Mauritania,Sub-Saharan Africa,4.227,0.795,57.161,0.731,2021
134,Madagascar,Sub-Saharan Africa,4.208,0.6859999999999999,59.305,0.8029999999999999,2021
135,Togo,Sub-Saharan Africa,4.107,0.569,54.913999999999994,0.772,2021
136,Zambia,Sub-Saharan Africa,4.073,0.708,55.809,0.823,2021
137,Sierra Leone,Sub-Saharan Africa,3.8489999999999998,0.63,51.651,0.866,2021
138,India,South Asia,3.819,0.603,60.633,0.774,2021
139,Burundi,Sub-Saharan Africa,3.775,0.49,53.4,0.607,2021
140,Yemen,Middle East and North Africa,3.658,0.8320000000000001,57.122,0.8,2021
141,Tanzania,Sub-Saharan Africa,3.623,0.7020000000000001,57.998999999999995,0.5770000000000001,2021
142,Haiti,Latin America and Caribbean,3.615,0.54,55.7,0.721,2021
143,Malawi,Sub-Saharan Africa,3.6,0.537,57.948,0.7290000000000001,2021
144,Lesotho,Sub-Saharan Africa,3.512,0.787,48.7,0.915,2021
145,Botswana,Sub-Saharan Africa,3.467,0.784,59.269,0.8009999999999999,2021
146,Rwanda,Sub-Saharan Africa,3.415,0.552,61.4,0.16699999999999998,2021
147,Zimbabwe,Sub-Saharan Africa,3.145,0.75,56.201,0.821,2021
148,Afghanistan,South Asia,2.523,0.46299999999999997,52.493,0.924,2021
11,Afghanistan,Middle East and North Africa,2.375,0.42,52.4,0.924,2019
23,Albania,East Asia,4.995,0.6859999999999999,69.0,0.914,2019
24,Albania,Middle East and North Africa,5.365,0.71,69.3,0.8909999999999999,2020
32,Algeria,Central and Eastern Europe,4.745,0.8029999999999999,66.1,0.741,2019
50,Argentina,Central and Eastern Europe,6.086,0.8959999999999999,69.0,0.83,2019
51,Argentina,Latin America and Caribbean,5.901,0.897,69.2,0.816,2020
65,Armenia,Latin America and Caribbean,5.4879999999999995,0.782,67.2,0.583,2019
78,Australia,Southeast Asia,7.234,0.943,73.9,0.43,2019
79,Australia,Middle East and North Africa,7.1370000000000005,0.937,74.2,0.491,2020
91,Austria,Sub-Saharan Africa,7.195,0.9640000000000001,73.3,0.457,2019
92,Austria,Central and Eastern Europe,7.212999999999999,0.925,73.6,0.46399999999999997,2020
106,Azerbaijan,Latin America and Caribbean,5.172999999999999,0.887,65.8,0.457,2019
116,Bahrain,Sub-Saharan Africa,7.098,0.878,69.3,,2019
117,Bahrain,Middle East and North Africa,6.172999999999999,0.848,69.7,,2020
131,Bangladesh,Middle East and North Africa,5.114,0.6729999999999999,64.8,0.6559999999999999,2019
132,Bangladesh,Sub-Saharan Africa,5.28,0.7390000000000001,65.3,0.742,2020
146,Belarus,Sub-Saharan Africa,5.821000000000001,0.917,66.4,0.546,2019
159,Belgium,Unspecified,6.772,0.884,72.2,0.672,2019
160,Belgium,Unspecified,6.8389999999999995,0.904,72.4,0.634,2020
173,Benin,Unspecified,4.976,0.442,54.7,0.698,2019
174,Benin,Unspecified,4.408,0.507,55.1,0.532,2020
191,Bolivia,Unspecified,5.6739999999999995,0.784,63.9,0.857,2019
192,Bolivia,Unspecified,5.559,0.805,64.2,0.868,2020
204,Bosnia and Herzegovina,Unspecified,6.016,0.873,68.1,0.963,2019
205,Bosnia and Herzegovina,Unspecified,5.516,0.899,68.4,0.9159999999999999,2020
217,Botswana,Unspecified,3.471,0.774,59.6,0.792,2019
231,Brazil,Unspecified,6.4510000000000005,0.899,66.6,0.762,2019
232,Brazil,Unspecified,6.11,0.831,66.8,0.7290000000000001,2020
243,Bulgaria,Unspecified,5.1080000000000005,0.948,67.0,0.943,2019
244,Bulgaria,Unspecified,5.598,0.9159999999999999,67.2,0.9009999999999999,2020
